Car_name,Car_company,Car_year,Car_price,Car_city,Car_location,Car_owner,Fuel_type
Maruti Suzuki Dzire Zxi,Maruti Suzuki,2018,575000,Bangalore,Karnataka,Single Owner,Not specified
Maruti Suzuki Ciaz VDI+ SHVS,Maruti Suzuki,2015,475000,Hyderabad,Telangana,Second Owner,Not specified
Honda Brio S mt,Honda,2012,165000,Pune,Maharashtra,Single Owner,Not specified
Honda City VMT,Honda,2016,550000,Noida,Uttar Pradesh,Single Owner,Not specified
Isuzu D-Max S-Cab S cab z,Isuzu,2024,1500000,Barpeta,Assam,Single Owner,Not specified
Kia Carens g1.5 6MT prestige o 7,Kia,2024,1150000,Ariyalur,Tamil Nadu,Single Owner,Not specified
Mercedes-Benz GLE,Mercedes-Benz,2020,5000000,Varanasi,Uttar Pradesh,Single Owner,Not specified
Kia Sonet HTX 1.0 TURBO 7DCT,Kia,2024,1150000,Hyderabad,Telangana,Second Owner,Not specified
Maruti Suzuki Baleno Delta 1.2,Maruti Suzuki,2019,550000,Thane,Maharashtra,Second Owner,Not specified
Renault Kwid Petrol,Renault,2019,325000,Thrissur,Kerala,Second Owner,petrol
Tata Hexa XTA,Tata,2019,750000,Valsad,Gujarat,Single Owner,Not specified
Hyundai Alcazar Signature dct,Hyundai,2024,1700000,Gurdaspur,Punjab,Single Owner,Not specified
Tata Nexon XZ,Tata,2019,650000,Nagpur,Maharashtra,Single Owner,Not specified
Hyundai Creta SX (O),Hyundai,2023,1600000,Ayodhya,Uttar Pradesh,Single Owner,Not specified
Kia Seltos X-Line,Kia,2022,1420000,Mumbai,Maharashtra,Single Owner,Not specified
Maruti Suzuki Swift VXI optional AMT,Maruti Suzuki,2025,780000,Palghar,Maharashtra,Single Owner,Not specified
Ford Freestyle Titanium Petrol,Ford,2018,495000,Bangalore,Karnataka,Single Owner,petrol
Hyundai Verna Petrol,Hyundai,2018,525000,New Delhi,Delhi,Single Owner,petrol
Hyundai Creta Top Variant (Manual),Hyundai,2023,1600000,Hisar,Haryana,Single Owner,Not specified
Mercedes-Benz GLA 200 CDI style,Mercedes-Benz,2014,1400000,Chennai,Tamil Nadu,Single Owner,Not specified
Tata Curvv Curvv pure+TCA DCA,Tata,2025,1150000,Mumbai,Maharashtra,Single Owner,Not specified
Hyundai Elite i20 1.2 Asta,Hyundai,2015,365000,Etah,Uttar Pradesh,Single Owner,Not specified
Maruti Suzuki Swift ZXI AMT,Maruti Suzuki,2022,775000,Hyderabad,Telangana,Single Owner,Not specified
Hyundai Verna 1.4 diesel ex,Hyundai,2019,800000,Bangalore,Karnataka,Second Owner,diesel
Jeep Compass S Petrol AT,Jeep,2021,1500000,Noida,Uttar Pradesh,Single Owner,petrol
Honda Jazz Top Model,Honda,2013,199000,Vadodara,Gujarat,Single Owner,Not specified
Datsun Redi-GO Hatch back,Datsun,2018,160000,Bangalore,Karnataka,Single Owner,Not specified
Ford Figo Titanium,Ford,2010,150000,Ghaziabad,Uttar Pradesh,Single Owner,Not specified
Toyota Urban Cruiser Hyryder Model V AT Hybrid,Toyota,2024,1900000,Bangalore,Karnataka,Single Owner,Not specified
BMW 5-Series 525,BMW,2008,547000,Bangalore,Karnataka,Single Owner,Not specified
Ford Figo Zxi Diesel,Ford,2013,199000,Chennai,Tamil Nadu,Single Owner,diesel
Audi Q3 Petrol,Audi,2018,2500000,Bangalore,Karnataka,Single Owner,petrol
Toyota Fortuner 2.8L 2WD MT DSL,Toyota,2021,2650000,New Delhi,Delhi,Single Owner,Not specified
Tata Tiago XT LR EV,Tata,2025,650000,Virudhunagar,Tamil Nadu,Second Owner,Not specified
Honda Civic 1.8S,Honda,2007,250000,Bangalore,Karnataka,Single Owner,Not specified
Honda WR-V VX MT IVTEC,Honda,2017,575000,Hyderabad,Telangana,Second Owner,Not specified
Mahindra  Scorpio N,Mahindra,2022,2100000,Shahdol,Madhya Pradesh,Single Owner,Not specified
Maruti Suzuki Dzire ZDI,Maruti Suzuki,2013,415000,Kolhapur,Maharashtra,Second Owner,Not specified
Honda City 4th Generation V MT Petrol,Honda,2021,835000,Chennai,Tamil Nadu,Single Owner,petrol
Honda Civic VX,Honda,2020,1150000,Dehradun,Uttarakhand,Single Owner,Not specified
Maruti Suzuki Ritz Vxi,Maruti Suzuki,2011,230000,Tiruchirappalli,Tamil Nadu,Single Owner,Not specified
Maruti Suzuki Celerio Automatic,Maruti Suzuki,2016,430000,Bangalore,Karnataka,Single Owner,Not specified
Kia Carens Prestige,Kia,2023,1020000,Meerut,Uttar Pradesh,Second Owner,Not specified
Chevrolet Beat PS Diesel,Chevrolet,2011,250000,Nagaur,Rajasthan,Single Owner,diesel
Tata Nexon xz+ dual tone,Tata,2018,620000,Amritsar,Punjab,Single Owner,Not specified
Renault Kiger AMT,Renault,2021,600000,Bangalore,Karnataka,Single Owner,Not specified
Kia Carens CARENS D1.5 IMT MDRIVE7,Kia,2023,1150000,Solapur,Maharashtra,Single Owner,Not specified
Mahindra XUV 500 W6,Mahindra,2017,785000,Bangalore,Karnataka,Single Owner,Not specified
Volkswagen Taigun TSI,Volkswagen,2024,1200000,Gurgaon,Haryana,Single Owner,Not specified
Kia Seltos HTX,Kia,2019,790000,Gurgaon,Haryana,Single Owner,Not specified
Ford Ecosport 1.5 TDI Diesel Ambiente,Ford,2019,475000,Gurgaon,Haryana,Second Owner,diesel
Ford Fiesta Diesel,Ford,2009,215000,Bangalore,Karnataka,Single Owner,diesel
Renault Kwid Rxt,Renault,2016,180000,Gorakhpur,Uttar Pradesh,Single Owner,Not specified
Maruti Suzuki Vitara Brezza ZDI,Maruti Suzuki,2017,700000,Ernakulam,Kerala,Second Owner,Not specified
MG Hector Hector PE 1.5 DCT Sharp,MG,2019,1050000,North Kannada,Karnataka,Second Owner,Not specified
Maruti Suzuki Swift tour S,Maruti Suzuki,2024,685000,Bangalore,Karnataka,Single Owner,Not specified
Toyota Innova gx-8str,Toyota,2008,200000,Lucknow,Uttar Pradesh,Single Owner,Not specified
